collection_id	collection_name	yoyo_id	primary_store
10333	Bridge Bedroom Collection	huppe-bridge-bedroom-collection	yv
10334	Citta Living Room Collection	huppe-citta-living-room-collection	yv
10335	Dusk Bedroom Collection	huppe-dusk-bedroom-collection	yv
10336	Hudson Bedroom Collection	huppe-hudson-bedroom-collection	yv
10337	Huppe Illusion Dining Room Collection		
10338	Magnola Dining Collection		
10339	Moment Bedroom Collection	huppe-moment-bedroom-collection	yv
10340	Moment Dining Room Collection		
10341	Motion Bedroom Collection	huppe-motion-bedroom-collection	yv
10342	Profil Living Room Collection		
10343	Silk Bedroom Collection	huppe-silk-bedroom-collection	yv
10344	Studio Living Room Collection	huppe-studio-living-room-collection	yv
10345	Swan Bedroom Collection	huppe-swan-bedroom-collection	yv
10346	Union Bedroom Collection	huppe-union-bedroom-collection	yv
10347	Aalto	iittala-aalto-collection	yv
10348	Birds by Toikka	iittala-birds-by-toikka	yv
10349	Sarjaton	iittala-sarjaton-collection	yv
10350	Teema	iittala-teema-collection	yv
10351	Fabric Panel		
10352	Stretched Canvas		
10353	Wall Flat		
10354	Cassius		
10355	Cubed		
10356	Dublexo		
10357	Fiftynine		
10358	Idle		
10359	Oldschool		
10360	Reloader		
10361	Silenos		
10362	Sly		
10363	Splitback		
10364	Also	italbrass-also-collection	yb
10365	Bingo	italbrass-bingo-collection	yb
10366	Corner	italbrass-corner-collection	yb
10367	Kone	italbrass-kone-collection	yb
10368	Kubo	italbrass-kubo-collection	yb
10369	Musa	italbrass-musa-collection	yb
10370	100 Collection		
10371	2000 Collection		
10372	300 Collection	jesper-office-300-collection	yv
10373	400 Collection	jesper-office-400-collection	yv
10374	500 Collection	jesper-office-500-collection	yv
10375	9000 Collection	jesper-office-9000-collection	yv
10376	900 Collection		
10377	Highland 75 Collection	jesper-office-highland-75-collection	yv
10378	Parsons Edition		
10379	Prestige		
10380	Sit-Stand Collection		
10381	Tribeca Collection	jesper-office-tribeca-collection	yv
10382	Bellino	kalia-bellino-collection	yb
10383	Cite	kalia-cite-collection	yb
10384	Klass	kalia-klass-collection	yb
10385	Kloud		
10386	K-Motion		
10387	Rollax		
10388	Umani	kalia-umani-collection	yb
10389	Caravan Collection		
10390	Echo Collection		
10391	IoLine Collection		
10392	Isometric Collection		
10393	Wilderness Collection		
10394	Ami		
10395	Audrey		
10396	Bloom		
10397	Bubble		
10398	Cindy		
10399	Comback		
10400	Componibili		
10401	Dr		
10402	Easy Light		
10403	Eros		
10404	Fly		
10405	Four		
10406	Gastone		
10407	Ge		
10408	Ghost		
10409	Glossy		
10410	Gnomes		
10411	Invisible		
10412	Mademoiselle		
10413	Magic Hole		
10414	Masters		
10415	Maui		
10416	Mauna Kea		
10417	Miss Balu		
10418	Pop		
10419	Precious	kartell-precious-collection	yv
10420	Spoon		
10421	Tip Top		
10422	Toobe		
10423	Alea	keuco-alea-collection	yb
10424	Edition 11	keuco-edition-11-collection	yb
