designer_id	designer_name	yoyo_id	primary_store
9242	Antoni de Moragas	designer-antoni-de-moragas	yv
9243	Antonio Arevalo	designer-antonio-arevalo	yv
9244	Anu Penttinen	designer-anu-penttinen	yv
9245	Area 44	designer-area-44	yv
9246	Ariadna Miquel	designer-ariadna-miquel	yv
9247	Arne Quinze	designer-arne-quinze	yv
9248	Arnout Visser	designer-arnout-visser	yv
9249	Artifort Design Group	designer-artifort-design-group	yv
9250	Arto Kankkunen	designer-arto-kankkunen	yv
9251	Art Studio Patrignani, S.T.C.	designer-art-studio-patrignani	yv
9252	Aurelien Barbry	designer-aurelien-barbry	yv
9253	Axel Delbrayere	designer-axel-delbrayere	yv
9254	Axel Enthoven	designer-axel-enthoven	yv
9255	Axel Wowereit	designer-axel-wowereit	yv
9256	Ayako Takase	designer-ayako-takase	yv
9257	Ayush Kasliwal	designer-ayush-kasliwal	yv
9258	Bartoli Design	designer-bartoli-design	yv
9259	BassamFellows	designer-bassamfellows	yv
9260	Bas Van Tol	designer-bas-van-tol	yv
9261	Benjamin Cherner	designer-benjamin-cherner	yv
9262	Bertil Vallien		
9263	Bertoli &amp; Pajetta	designer-bertoli-pajetta	yv
9264	Bill Stumpf	designer-bill-stumpf	yv
9265	Bjorn Dahlstrom	designer-bjorn-dahlstrom	yv
9266	Bolette and Louise Blaedel	designer-blaedel	yv
9267	Bmw Group Designworks Usa	designer-bmw-group-designworks-usa	yv
9268	Boje Estermann	designer-boje-estermann	yv
9269	Boonzaaijer &amp; Spierenburg	designer-boonzaaijer-spierenburg	yv
9270	Bos And Couvee	designer-bos-and-couvee	yv
9271	Brendan Ravenhill	designer-brendan-ravenhill	yv
9272	Brian Kane	designer-brian-kane	yv
9273	Britt Bonnesen	designer-britt-bonnesen	yv
9274	Britt Kornum	designer-britt-kornum	yv
9275	Bruce Burdick	designer-bruce-burdick	yv
9276	Buro Wehberg	designer-buro-wehberg	yv
9277	Candice Olson	designer-candice-olson	yv
9278	C&Atilde;&nbsp; Nova Design	designer-ca-nova-design	yv
9279	Care &amp;amp; Fair	designer-care-and-fair	yv
9280	Carl Gustav Magnusson	designer-carl-magnusson	yv
9281	Carlo Colombo		
9282	Carl Pott	designer-carl-pott	yv
9283	Carme Pinos	designer-carme-pinos	yv
9284	Carol Catalano	designer-carol-catalano	yv
9285	Catherine and Bruno Lefebvre	designer-catherine-and-bruno-lefebvre	yv
9286	Charles Pfister	designer-charles-pfister	yv
9287	Charles Pollock	designer-charles-pollock	yv
9288	Charlotte Lancelot	designer-charlotte-lancelot	yv
9289	Charlotte Van Der Waals	designer-charlotte-van-der-waals	yv
9290	Chris Adamick	designer-chris-adamick	yv
9291	Chris Kabatsi	designer-chris-kabatsi	yv
9292	Christian Flensted	designer-christian-flensted	yv
9293	Christian Ghion	designer-christian-ghion	yv
9294	Christina Parrett		
9295	Christine Schwarzer	designer-christine-schwarzer	yv
9296	Christoph Bitzer	designer-christoph-bitzer	yv
9297	Christopher Douglas	designer-christopher-douglas	yv
9298	Cini Boeri	designer-cini-boeri	yv
9299	Clara Von Zweigbergk	designer-clara-von-zweigbergk	yv
9300	Claudia Raimondo		
9301	Claudio D&#039;Amore	designer-claudio-d-amore	yv
9302	Claydies	designer-claydies	yv
9303	Clive Wilkinson		
9304	Federico Correa and Alfonso Mila	designer-correa-mila	yv
9305	Cory Grosser	designer-cory-grosser	yv
9306	Cristian Wicha	designer-cristian-wicha	yv
9307	Cristian Zuzunaga	designer-cristian-zuzunaga	yv
9308	Cristina Giopato &amp; Christopher Coombes	designer-cristina-giopato-christopher-coombes	yv
9309	Damian Velasquez	designer-damian-velasquez	yv
9310	Dana D&#039;Amico	designer-dana-damico	yv
9311	Daniele Bedini		
9312	Darin Montgomery	designer-darin-montgomery	yv
9313	Dario Antonioni		
9314	Darling Clementine	designer-darling-clementine	yv
9315	David Cressey	designer-david-cressey	yv
9316	Davide Oppizzi	designer-davide-oppizzi	yb
9317	David Rasmussen	designer-david-rasmussen	yv
9318	David Salmela	designer-david-salmela	yv
9319	David Weatherhead	designer-david-weatherhead	yv
9320	David Weeks	designer-david-weeks	yv
9321	David Winston	designer-david-winston	yv
9322	Design Group Italia	designer-design-group-italia	yv
9323	Designit		
9324	Design Rosendahl	designer-design-rosendahl	yv
9325	Designwright	designer-designwright	yv
9326	Oscar and Sergi Devesa	designer-devesa	yv
9327	Diego Marocco	designer-diego-marocco	yv
9328	Dieter Rams	designer-dieter-rams	yv
9329	Dietrich Lubs	designer-dietrich-lubs	yv
9330	Diplomat U.K.	designer-diplomat-uk	yv
9331	Don Chadwick	designer-don-chadwick	yv
9332	Don Wallance		
9333	Dorigo Design		
9334	Dorothee Becker	designer-dorothee-becker	yv
9335	Dual Design	designer-dual-design	yv
9336	Dz Studio	designer-dz-studio	yv
9337	Charles + Ray Eames	designer-eames	yv
9338	Ed Annink	designer-ed-annink	yv
9339	Ed Carpenter	designer-ed-carpenter	yv
9340	Edi &amp; Paolo Ciani	designer-edi-paolo-ciani	yv
9341	Edward Geluk	designer-edward-geluk	yv
9342	Eero Aarnio	designer-eero-aarnio	yv
9343	Eero Saarinen	designer-eero-saarinen	yv
9344	Eija Helander	designer-eija-helander	yv
9345	Elena Manferdini	designer-elena-manferdini	yv
9346	Elena Somalo	designer-elena-somalo	yv
9347	Eli Alexander	designer-eli-alexander	yv
9348	Elisa Gargan Giovannoni	designer-elisa-gargan	yv
9349	Emanuele Zenere	designer-emanuel-zenere	yv
9350	Emilia Borgthorsdottir	designer-emilia-borgthorsdottir	yv
9351	Emilio Nanni	designer-emilio-nanni	yv
9352	Emili Padros	designer-emili-padros	yv
9353	Emanuela Frattini Magnusson	designer-emmanuella-frattina	yv
9354	Enrico Bressan	designer-enrico-bressan	yv
9355	Enrico Tonucci	designer-enrico-tonucci	yv
9356	Eric Janssen	designer-eric-janssen	yv
9357	Eric Kuczynski	designer-eric-kuczynski	yv
9358	Erik Bagger	designer-erik-bagger	yv
9359	Eva Eisler	designer-eva-eisler	yv
9360	Eva Langhans	designer-eva-langhans	yv
9361	Fabio Di Bartolomei	designer-fabio-di-bartolomei	yv
9362	Fabio Novembre		
9363	Fabrizio Batoni	designer-fabrizio-batoni	yv
9364	Fabrizio Citton	designer-fabrizio-citton	yv
9365	Fernando Brizio	designer-fernando-brizio	yv
9366	Finn Magee	designer-finn-magee	yv
9367	Flemming Bo Hansen	designer-flemming-bo-hansen	yv
9368	Flemming Hoejfeldt	designer-flemming-hoejfeldt	yv
9369	Florence Knoll	designer-florence-knoll	yv
9370	Douwe Jacobs + Tom Schouten	designer-flux	yv
9371	Folke Arstr&amp;ouml;m		
9372	Form Us With Love	designer-form-us-with-love	yv
9373	Formway Design	designer-formway-design	yv
9374	Fort Standard		
9375	Francis Cayouette	designer-francis-cayouette	yv
9376	Fratelli Campana	designer-fratelli-campana	yv
9377	Frede Fabek		
9378	Frederic Gooris	designer-frederic-gooris	yv
9379	Frederic Sofia	designer-frederic-sofia	yv
9380	Doriana and Massimiliano Fuksas	designer-fuksas	yv
9381	Fx Ballery	designer-fx-ballery	yv
