brand_id	brand_name	yoyo_id	primary_store
12617	Bongio	bongio	yb
12624	Apaiser	apaiser	yb
12645	Tonelli	tonelli	yv
12787	Accupunto		
12752	Harco Loor Design		
12758	Blanco		
12771	Ceramica Globo	ceramica-globo-all	yb
12777	Nook Sleep Systems	nook-sleep-systems	yv
12781	Oilo	oilo	yv
14018	Grohe	grohe	yb
14020	Grohe		
14034	Akaba &amp; ! ; * &Atilde;&copy; &#039; &Acirc;&reg; test		
